Package,LibPath,Version,Priority,Built
abind,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4-5,NA,3.4.0
assertthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
backports,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.2,NA,3.4.3
base,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
base64enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-3,NA,3.4.0
BH,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.65.0-1,NA,3.4.1
bindr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.0
bindrcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2,NA,3.4.0
bitops,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
boot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-20,recommended,3.4.3
broom,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.3
callr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
caTools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.17.1,NA,3.4.0
cellranger,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
circlize,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.3
circular,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-93,NA,3.4.1
class,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-14,recommended,3.4.3
cli,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.2
clipr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.2
clisymbols,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
cluster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.6,recommended,3.4.3
coda,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.19-1,NA,3.4.0
codetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-15,recommended,3.4.3
colorspace,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.0
compiler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
crayon,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.4,NA,3.4.1
curl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1,NA,3.4.3
datasets,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
DBI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.0
dbplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
denstrip,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5.3,NA,3.4.0
desc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.1
dichromat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0-0,NA,3.4.0
digest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6.14,NA,3.4.3
dotCall64,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-5.2,NA,3.4.3
dplyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.4,NA,3.4.2
enc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.2
evaluate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10.1,NA,3.4.1
expm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.999-2,NA,3.4.0
fields,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,9.0,NA,3.4.0
forcats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
foreign,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8-69,recommended,3.4.3
fs,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.3
ggplot2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.1,NA,3.4.0
gh,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.1
git2r,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.21.0,NA,3.4.3
GlobalOptions,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.12,NA,3.4.0
glue,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.2
graphics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
grDevices,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
grid,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
gtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
haven,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.3
highr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.6,NA,3.4.0
hms,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.3
htmltools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.6,NA,3.4.0
httr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3.1,NA,3.4.1
ini,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.0,NA,3.4.2
jsonlite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
KernSmooth,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.23-15,recommended,3.4.3
knitr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.18,NA,3.4.3
labeling,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3,NA,3.4.0
lattice,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.20-35,recommended,3.4.3
lazyeval,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.1,NA,3.4.2
lubridate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.1,NA,3.4.2
magrittr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
maps,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.2.0,NA,3.4.0
maptools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-2,NA,3.4.0
markdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8,NA,3.4.0
MASS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-48,recommended,3.4.3
Matrix,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-12,recommended,3.4.3
mcmcplots,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.2,NA,3.4.0
methods,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
mgcv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-23,recommended,3.4.3
mime,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5,NA,3.4.0
mnormt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-5,NA,3.4.0
modelr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.1
msm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6.5,NA,3.4.3
munsell,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.0
mvtnorm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-6,NA,3.4.0
nlme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1-131,recommended,3.4.3
nnet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-12,recommended,3.4.3
openssl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.9,NA,3.4.2
parallel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
pillar,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.3
pkgconfig,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.0
plogr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-1,NA,3.4.0
plyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.4,NA,3.4.0
psych,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.8,NA,3.4.2
purrr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.4,NA,3.4.2
R2jags,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5-7,NA,3.4.0
R2WinBUGS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1-21,NA,3.4.0
R6,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.2,NA,3.4.0
rARPACK,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.11-0,NA,3.4.0
raster,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.6-7,NA,3.4.2
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-2,NA,3.4.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.12.15,NA,3.4.3
RcppEigen,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.3.3.1,NA,3.4.3
readr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
readxl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
rematch,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.0
rematch2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.1
reprex,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.0
reshape2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.3,NA,3.4.3
rgdal,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-16,NA,3.4.3
rgeos,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-26,NA,3.4.2
rjags,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4-6,NA,3.4.0
rlang,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.3
rmarkdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8,NA,3.4.2
rpart,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.1-12,recommended,3.4.3
rprojroot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.3
RSpectra,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.12-0,NA,3.4.0
rstudioapi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.1
rvest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.2,NA,3.4.0
scales,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0,NA,3.4.1
selectr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-1,NA,3.4.0
sfsmisc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-1,NA,3.4.0
shape,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.3,NA,3.4.1
sp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-7,NA,3.4.3
spam,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1-2,NA,3.4.3
spatial,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-11,recommended,3.4.3
splines,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
stats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
stats4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
stocc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.30,NA,3.4.0
stringi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.6,NA,3.4.2
stringr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
styler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.3
survival,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.41-3,recommended,3.4.3
tcltk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
tibble,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.2,NA,3.4.3
tidyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7.2,NA,3.4.2
tidyselect,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.3,NA,3.4.2
tidyverse,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.1,NA,3.4.2
tools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
truncnorm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-7,NA,3.4.0
usethis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
utf8,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.3,NA,3.4.3
utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
viridisLite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
whisker,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-2,NA,3.4.0
withr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.1,NA,3.4.3
xml2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
yaml,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.16,NA,3.4.3
